,step,vertical_idx,horizontal_idx
0,1,4,0
1,4,2,3
2,14,3,3
3,15,2,1
4,16,3,3
5,24,0,4
6,26,2,1
7,32,0,4
8,32,2,1
9,46,1,2
10,49,2,4
11,55,1,4
12,59,0,1
13,59,0,4
14,66,0,3
15,71,4,3
16,73,0,0
17,78,0,3
18,79,3,3
19,84,1,4
20,94,1,3
21,98,1,0
22,106,0,3
23,113,1,1
24,114,3,1
25,119,0,0
26,119,3,1
27,119,4,3
28,120,4,4
29,125,0,0
30,128,4,3
31,132,2,3
32,134,0,0
33,136,0,0
34,136,1,3
35,147,2,2
36,150,0,1
37,150,4,4
38,154,0,4
39,154,2,2
40,157,3,2
41,171,1,4
42,175,1,3
43,180,3,2
44,187,1,0
45,187,1,2
46,190,1,2
47,191,1,1
48,195,2,2
49,195,4,0
