,step,vertical_idx,horizontal_idx
0,6,1,2
1,11,0,1
2,13,2,1
3,17,0,0
4,19,1,3
5,27,0,0
6,32,1,0
7,41,1,3
8,46,0,0
9,48,3,2
10,55,3,1
11,69,4,4
12,72,2,1
13,73,0,0
14,85,0,1
15,89,3,0
16,91,4,0
17,97,3,0
18,102,4,2
19,107,1,3
20,108,4,3
21,112,3,2
22,112,3,4
23,116,1,4
24,117,1,1
25,118,0,3
26,118,2,1
27,120,0,3
28,126,2,1
29,127,0,2
30,144,1,2
31,145,4,3
32,149,0,0
33,149,0,4
34,160,4,4
35,165,1,2
36,172,3,2
37,181,3,2
38,183,4,2
39,184,0,0
40,188,0,0
41,192,2,3
42,192,2,4
43,194,3,1
44,200,1,3
