,step,vertical_idx,horizontal_idx
0,7,0,4
1,9,1,2
2,16,4,3
3,18,0,3
4,24,0,0
5,46,1,2
6,46,2,3
7,48,0,3
8,53,2,3
9,56,1,1
10,59,0,0
11,69,2,1
12,72,1,3
13,75,0,4
14,75,2,3
15,76,0,0
16,79,2,3
17,81,3,0
18,82,2,1
19,82,4,3
20,89,2,3
21,90,2,1
22,91,1,4
23,93,0,3
24,100,3,2
25,108,1,1
26,121,3,0
27,123,0,1
28,134,1,0
29,139,4,4
30,141,0,0
31,142,3,2
32,143,4,3
33,147,4,1
34,149,4,1
35,150,0,3
36,152,0,1
37,153,1,2
38,158,0,0
39,158,0,4
40,158,2,1
41,161,0,1
42,163,4,0
43,170,2,4
44,175,2,3
45,176,0,3
46,179,2,2
47,189,1,4
48,190,0,3
49,192,0,3
50,193,1,4
51,195,2,4
52,197,2,3
53,199,1,4
54,199,4,4
