,step,vertical_idx,horizontal_idx
0,1,1,4
1,1,4,3
2,6,1,1
3,8,2,4
4,10,2,4
5,13,3,2
6,23,0,2
7,44,2,3
8,45,1,4
9,46,3,3
10,51,2,1
11,55,3,1
12,56,2,3
13,57,0,3
14,60,3,0
15,74,2,4
16,75,0,0
17,76,1,0
18,81,2,2
19,86,4,4
20,87,1,0
21,88,1,4
22,106,2,1
23,108,4,3
24,108,4,4
25,110,3,1
26,111,1,3
27,117,0,4
28,119,0,0
29,119,1,4
30,130,0,1
31,138,1,1
32,142,0,3
33,164,1,4
34,165,0,0
35,167,0,0
36,169,1,0
37,172,4,4
38,173,0,0
39,174,1,4
40,174,3,2
41,175,4,4
42,176,2,1
43,179,4,0
44,182,2,2
45,183,1,4
46,189,4,2
47,193,1,4
48,196,3,1
49,197,2,3
50,199,1,4
