,step,vertical_idx,horizontal_idx
0,1,1,3
1,4,4,4
2,5,1,4
3,5,2,3
4,15,4,4
5,17,3,3
6,23,1,1
7,24,0,1
8,25,3,0
9,25,4,3
10,32,2,3
11,61,2,3
12,62,3,1
13,73,0,3
14,73,4,1
15,76,2,4
16,77,3,3
17,80,3,0
18,91,0,1
19,96,1,0
20,97,0,4
21,97,2,2
22,105,0,3
23,108,3,0
24,111,3,1
25,118,0,4
26,127,0,3
27,128,3,0
28,137,0,2
29,141,3,0
30,146,2,4
31,154,0,1
32,156,3,0
33,162,2,4
34,162,3,2
35,163,4,3
36,166,1,3
37,168,3,0
38,170,3,1
39,177,4,3
40,178,1,4
41,178,3,3
42,180,3,3
43,181,0,3
44,184,2,1
45,184,2,2
46,185,1,1
47,187,0,0
48,188,1,2
49,193,0,2
50,195,3,2
51,197,0,4
52,200,2,4
