,step,vertical_idx,horizontal_idx
0,2,3,2
1,8,4,3
2,10,3,2
3,25,0,1
4,26,3,0
5,29,0,0
6,33,0,4
7,41,3,1
8,44,3,0
9,49,0,3
10,55,4,0
11,63,0,1
12,67,1,3
13,73,0,0
14,73,0,4
15,75,2,3
16,79,1,2
17,86,0,3
18,90,0,3
19,92,1,1
20,93,0,2
21,94,0,2
22,96,2,3
23,99,1,1
24,100,2,2
25,101,3,1
26,102,2,4
27,109,1,4
28,113,2,1
29,122,0,3
30,123,3,2
31,128,3,1
32,130,4,3
33,131,4,4
34,142,3,0
35,152,4,1
36,155,3,1
37,159,4,3
38,164,2,3
39,174,0,1
40,174,3,3
41,179,2,2
42,181,2,1
43,181,2,3
44,194,1,0
45,197,4,0
46,198,0,1
