,step,vertical_idx,horizontal_idx
0,11,2,2
1,23,0,0
2,27,0,0
3,29,0,2
4,31,2,3
5,42,4,3
6,61,2,4
7,65,2,3
8,67,0,4
9,68,0,3
10,68,2,3
11,74,2,4
12,79,0,4
13,79,2,4
14,80,2,1
15,82,2,1
16,84,2,1
17,84,4,0
18,85,1,2
19,87,4,3
20,92,1,1
21,97,4,3
22,103,2,1
23,107,2,4
24,113,2,3
25,114,2,4
26,117,4,1
27,121,2,2
28,122,4,3
29,127,0,3
30,127,2,3
31,128,4,0
32,137,2,3
33,144,3,0
34,145,1,0
35,153,1,3
36,157,2,4
37,160,4,2
38,166,4,3
39,171,0,3
40,180,0,1
41,180,0,2
42,180,1,2
43,180,3,3
44,182,2,1
45,184,3,0
46,195,2,1
