,step,vertical_idx,horizontal_idx
0,3,0,2
1,3,4,0
2,4,3,1
3,5,0,3
4,5,1,2
5,8,0,0
6,8,0,3
7,11,0,4
8,15,0,2
9,15,1,4
10,20,4,3
11,22,3,2
12,29,0,4
13,32,1,1
14,33,0,2
15,35,0,0
16,35,2,3
17,37,3,1
18,39,3,1
19,46,3,2
20,54,2,4
21,55,2,3
22,64,2,3
23,68,2,4
24,69,4,0
25,70,0,2
26,79,4,3
27,82,1,0
28,86,1,1
29,87,4,4
30,94,4,4
31,95,0,4
32,96,3,3
33,101,2,3
34,103,1,1
35,103,2,4
36,105,3,2
37,109,0,3
38,117,1,3
39,117,4,4
40,118,3,3
41,123,3,1
42,140,4,3
43,141,4,4
44,150,3,3
45,152,2,1
46,156,4,1
47,159,1,4
48,162,3,2
49,177,0,4
50,178,0,0
51,183,1,2
52,186,0,4
53,192,0,2
54,194,2,1
55,194,3,2
56,195,3,3
57,199,2,3
58,200,1,4
