,step,vertical_idx,horizontal_idx
0,3,0,0
1,4,3,0
2,5,0,1
3,11,3,0
4,14,4,4
5,16,4,0
6,17,2,1
7,17,4,3
8,18,0,0
9,18,0,2
10,34,2,3
11,35,1,2
12,37,3,2
13,44,1,2
14,66,0,0
15,68,2,1
16,76,4,4
17,85,1,2
18,88,1,0
19,91,1,3
20,98,2,1
21,103,1,3
22,107,2,3
23,108,0,3
24,110,1,4
25,111,2,4
26,118,3,2
27,119,4,3
28,120,0,0
29,124,3,1
30,127,1,0
31,132,4,3
32,133,1,0
33,144,2,1
34,148,1,3
35,148,2,4
36,149,4,1
37,152,3,1
38,154,0,3
39,159,2,4
40,162,0,3
41,162,0,4
42,166,3,2
43,169,0,0
44,172,1,3
45,172,4,3
46,173,2,2
47,175,4,1
48,182,4,0
49,185,0,0
50,185,0,3
51,188,0,2
52,189,3,1
53,191,2,4
54,197,0,2
