,step,vertical_idx,horizontal_idx
0,3,1,0
1,4,4,3
2,6,2,1
3,19,2,3
4,21,3,4
5,22,3,1
6,28,0,3
7,34,0,1
8,37,1,2
9,39,0,1
10,41,1,2
11,46,0,1
12,48,4,3
13,52,1,3
14,64,3,3
15,69,3,0
16,69,3,1
17,71,1,1
18,84,2,3
19,85,0,1
20,95,3,3
21,107,4,4
22,109,3,2
23,111,4,4
24,113,4,3
25,120,1,0
26,123,0,0
27,124,3,3
28,126,0,4
29,131,3,0
30,131,4,0
31,134,3,0
32,135,1,4
33,137,0,2
34,145,1,0
35,146,3,2
36,148,1,2
37,149,3,2
38,152,3,0
39,155,4,4
40,160,2,1
41,162,4,0
42,183,0,0
43,187,1,0
44,188,0,4
45,193,0,4
46,197,0,3
