,step,vertical_idx,horizontal_idx
0,1,0,2
1,9,0,1
2,9,2,4
3,11,0,1
4,13,0,3
5,21,1,4
6,23,3,4
7,30,0,2
8,30,4,2
9,31,4,0
10,33,0,0
11,37,0,4
12,43,0,0
13,45,1,2
14,48,2,2
15,50,3,0
16,53,0,2
17,60,1,1
18,61,3,1
19,65,1,1
20,68,2,4
21,75,1,2
22,79,2,2
23,79,4,0
24,81,1,2
25,95,3,4
26,97,4,1
27,115,1,0
28,117,4,1
29,118,3,0
30,118,4,2
31,124,0,1
32,125,4,3
33,126,3,1
34,128,1,1
35,135,2,1
36,143,4,3
37,149,3,1
38,158,0,3
39,160,2,1
40,162,2,4
41,167,0,3
42,172,0,1
43,174,0,2
44,177,2,4
45,179,1,4
46,179,2,4
47,180,4,2
48,182,0,2
49,187,2,1
50,187,3,0
51,188,1,0
52,190,0,4
53,194,1,0
54,194,4,2
55,198,4,1
