,step,vertical_idx,horizontal_idx
0,8,2,1
1,11,0,0
2,12,1,3
3,16,3,0
4,20,1,1
5,21,1,3
6,21,2,3
7,21,4,0
8,23,1,4
9,28,4,1
10,32,2,3
11,43,1,2
12,44,2,1
13,50,2,3
14,53,2,1
15,57,0,2
16,63,1,2
17,63,3,1
18,64,2,2
19,73,3,4
20,74,1,4
21,75,2,2
22,77,4,0
23,78,3,4
24,83,2,4
25,87,3,0
26,88,1,0
27,90,3,2
28,99,1,4
29,105,2,1
30,107,2,2
31,110,0,0
32,111,1,0
33,113,1,4
34,114,2,4
35,115,4,2
36,116,2,2
37,116,3,4
38,120,2,1
39,129,2,4
40,139,4,1
41,145,1,0
42,150,3,1
43,159,2,2
44,159,3,1
45,175,2,4
46,178,1,4
47,182,3,4
48,189,1,4
49,189,4,1
50,192,1,0
51,195,1,1
