,step,vertical_idx,horizontal_idx
0,2,3,2
1,4,4,0
2,5,2,1
3,5,1,4
4,7,2,1
5,13,1,2
6,18,0,4
7,18,1,4
8,18,4,0
9,26,4,0
10,31,2,2
11,40,2,1
12,41,3,4
13,47,1,3
14,48,1,1
15,49,0,0
16,50,2,3
17,58,4,3
18,59,0,4
19,63,1,3
20,66,0,2
21,83,2,3
22,83,2,1
23,84,1,2
24,84,3,2
25,85,4,4
26,85,2,4
27,87,3,1
28,88,3,2
29,88,2,1
30,91,1,3
31,101,4,1
32,103,4,4
33,109,1,4
34,110,4,4
35,113,0,1
36,116,1,3
37,118,4,4
38,119,0,1
39,122,3,3
40,129,2,1
41,129,3,2
42,132,1,3
43,134,2,4
44,136,1,2
45,138,0,1
46,141,3,3
47,145,0,4
48,151,3,2
49,156,4,1
50,158,2,2
51,158,4,2
52,159,4,4
53,161,2,4
54,164,1,3
55,182,1,0
56,185,1,4
57,188,0,4
58,189,0,3
59,191,2,3
60,192,3,0
61,193,0,3
62,194,4,0
63,194,2,2
64,197,0,3
65,198,1,1
