,step,vertical_idx,horizontal_idx
0,2,2,1
1,4,2,3
2,13,1,3
3,20,3,1
4,21,3,1
5,22,2,4
6,23,3,3
7,26,3,4
8,27,0,1
9,31,1,3
10,32,1,3
11,34,0,1
12,38,1,3
13,41,3,1
14,45,3,2
15,48,3,4
16,51,3,1
17,52,2,3
18,55,4,0
19,58,1,0
20,65,0,1
21,70,1,4
22,86,0,1
23,86,2,1
24,98,4,3
25,102,1,3
26,103,3,3
27,104,1,2
28,117,0,4
29,120,3,2
30,125,1,3
31,126,1,1
32,129,2,1
33,139,3,1
34,141,3,2
35,142,2,3
36,145,2,4
37,148,4,2
38,153,0,1
39,160,1,2
40,160,1,3
41,168,3,2
42,172,4,3
43,176,1,3
44,182,3,1
45,193,3,0
