,step,vertical_idx,horizontal_idx
0,4,3,1
1,14,4,2
2,26,4,2
3,27,2,2
4,30,1,2
5,33,4,1
6,36,4,3
7,40,2,1
8,43,1,2
9,58,0,2
10,63,4,1
11,66,3,3
12,71,1,3
13,71,1,2
14,78,1,0
15,83,2,3
16,85,0,2
17,86,2,3
18,92,4,2
19,93,3,0
20,100,4,1
21,101,1,0
22,102,4,4
23,107,1,2
24,108,1,1
25,115,2,4
26,119,2,2
27,126,3,4
28,126,3,3
29,129,4,4
30,131,2,4
31,131,3,1
32,131,3,4
33,131,4,2
34,157,3,2
35,159,2,3
36,159,0,4
37,160,1,2
38,167,1,1
39,170,0,1
40,174,0,4
41,176,2,3
42,178,1,4
43,180,4,2
44,180,1,0
45,183,4,0
46,187,1,3
47,195,3,2
