,step,vertical_idx,horizontal_idx
0,1,3,4
1,2,4,2
2,2,0,1
3,3,4,3
4,8,0,0
5,11,0,2
6,17,3,0
7,18,0,3
8,24,2,4
9,25,3,2
10,29,1,1
11,33,4,0
12,36,3,3
13,38,4,1
14,40,4,3
15,41,3,2
16,43,2,4
17,47,1,3
18,49,3,2
19,50,0,1
20,51,0,4
21,53,4,3
22,57,4,0
23,57,0,3
24,60,1,1
25,62,2,3
26,63,2,3
27,65,3,3
28,76,4,4
29,83,3,3
30,83,3,4
31,85,1,1
32,89,2,3
33,92,1,3
34,92,2,1
35,101,2,2
36,104,0,3
37,116,3,2
38,128,0,1
39,128,1,1
40,131,4,4
41,132,0,4
42,132,1,1
43,136,1,2
44,137,3,4
45,150,1,2
46,153,0,4
47,160,4,4
48,161,2,1
49,162,3,4
50,179,3,3
51,179,4,3
52,181,3,3
53,186,0,3
54,187,1,2
55,191,3,3
56,196,0,3
57,196,4,4
