,step,vertical_idx,horizontal_idx
0,2,0,3
1,2,2,3
2,3,1,2
3,10,4,1
4,11,2,2
5,11,3,2
6,12,2,4
7,21,2,4
8,26,2,4
9,26,1,0
10,28,1,4
11,33,4,3
12,34,3,0
13,47,4,3
14,49,0,2
15,50,2,2
16,56,3,3
17,57,4,2
18,66,4,3
19,67,0,1
20,73,0,2
21,73,0,3
22,73,4,2
23,75,0,3
24,79,1,4
25,85,3,0
26,85,1,3
27,89,4,4
28,90,2,1
29,91,3,3
30,92,1,2
31,94,3,3
32,99,4,4
33,101,3,1
34,101,0,2
35,109,0,1
36,117,2,3
37,122,2,3
38,128,3,1
39,136,0,1
40,138,4,3
41,144,2,3
42,147,2,4
43,149,1,0
44,152,4,4
45,152,0,1
46,157,0,4
47,181,3,4
48,193,0,3
49,193,4,4
50,194,2,1
51,197,2,2
