,step,vertical_idx,horizontal_idx
0,10,4,1
1,11,4,2
2,20,2,2
3,20,3,1
4,25,4,4
5,32,2,1
6,39,1,0
7,43,0,0
8,43,3,0
9,43,3,1
10,50,1,0
11,58,0,2
12,59,2,4
13,60,1,0
14,61,0,2
15,61,2,1
16,66,0,4
17,68,1,4
18,72,3,0
19,75,0,2
20,78,3,2
21,82,1,1
22,85,3,1
23,88,2,2
24,91,1,0
25,101,0,0
26,105,3,0
27,108,1,0
28,112,3,1
29,122,1,1
30,124,1,3
31,124,4,0
32,128,2,3
33,134,2,1
34,135,3,4
35,139,3,4
36,140,3,2
37,143,4,0
38,147,3,0
39,153,3,0
40,163,1,1
41,170,2,1
42,173,0,1
43,175,4,1
44,184,3,0
45,191,2,1
46,197,2,2
47,198,3,1
