,step,vertical_idx,horizontal_idx
0,1,4,0
1,4,4,1
2,14,1,1
3,15,2,1
4,21,1,4
5,22,1,1
6,27,3,1
7,30,3,1
8,31,0,2
9,36,0,1
10,41,3,1
11,50,2,2
12,54,1,1
13,55,3,1
14,61,0,1
15,64,3,1
16,66,4,1
17,79,4,0
18,95,4,4
19,99,4,0
20,101,0,4
21,101,3,1
22,102,4,0
23,106,3,3
24,109,1,3
25,119,0,3
26,125,1,0
27,125,2,4
28,129,3,4
29,133,3,0
30,135,0,4
31,137,0,1
32,144,4,0
33,148,0,1
34,150,3,3
35,158,1,0
36,159,0,1
37,160,4,0
38,165,0,0
39,172,1,0
40,175,1,3
41,181,0,4
42,182,4,0
43,184,2,2
44,188,0,1
45,190,1,2
46,196,2,2
47,197,1,0
