,step,vertical_idx,horizontal_idx
0,4,0,1
1,5,0,4
2,7,1,1
3,18,0,0
4,18,4,2
5,19,0,2
6,22,0,1
7,25,4,4
8,26,2,1
9,26,3,0
10,27,1,1
11,30,4,0
12,30,4,2
13,36,2,2
14,39,3,0
15,41,1,1
16,41,4,1
17,44,0,0
18,49,0,0
19,50,2,3
20,53,3,3
21,55,0,3
22,58,2,2
23,58,3,4
24,59,4,4
25,65,3,3
26,71,4,0
27,75,2,2
28,85,2,3
29,86,3,3
30,89,4,1
31,92,1,0
32,96,4,3
33,101,3,0
34,108,4,3
35,110,0,0
36,112,1,1
37,112,2,3
38,115,0,3
39,117,3,4
40,123,1,0
41,124,3,1
42,124,3,3
43,132,0,0
44,134,2,1
45,141,0,1
46,147,2,1
47,147,4,4
48,149,4,1
49,156,2,1
50,157,4,1
51,158,3,0
52,160,0,1
53,160,3,0
54,169,4,1
55,174,2,1
56,179,0,1
57,179,1,2
58,181,3,2
59,182,4,4
60,183,4,0
61,184,1,1
62,192,0,2
63,193,3,4
64,195,1,1
65,197,0,1
66,197,3,0
67,199,4,1
