,step,vertical_idx,horizontal_idx
0,12,3,0
1,23,3,3
2,26,0,0
3,27,4,0
4,28,1,3
5,30,0,2
6,37,1,1
7,43,3,0
8,53,2,1
9,55,2,4
10,58,2,1
11,61,4,1
12,77,4,0
13,78,0,2
14,82,3,4
15,83,0,1
16,83,1,0
17,84,0,0
18,86,1,0
19,91,1,4
20,93,2,1
21,95,1,1
22,95,1,2
23,107,3,0
24,111,3,0
25,112,4,2
26,119,2,4
27,121,0,2
28,121,3,0
29,128,0,1
30,131,3,2
31,136,1,1
32,137,3,1
33,137,3,2
34,138,4,2
35,143,0,3
36,143,2,3
37,146,3,1
38,149,3,1
39,150,0,0
40,151,3,1
41,159,1,1
42,160,0,1
43,161,3,1
44,162,1,1
45,163,0,3
46,166,3,1
47,172,1,3
48,173,1,2
49,185,2,1
50,189,0,1
51,194,1,1
