,step,vertical_idx,horizontal_idx
0,2,1,1
1,4,0,4
2,7,1,4
3,20,2,2
4,21,0,0
5,28,0,1
6,34,4,0
7,35,1,0
8,35,0,3
9,40,3,2
10,41,4,4
11,43,3,3
12,50,1,1
13,51,1,2
14,58,1,3
15,62,2,3
16,63,4,1
17,64,2,3
18,64,4,4
19,73,4,0
20,84,3,4
21,84,3,3
22,88,3,4
23,89,1,1
24,90,0,1
25,90,3,1
26,96,0,2
27,97,4,1
28,97,1,1
29,98,3,2
30,105,3,0
31,116,0,1
32,123,2,4
33,123,2,2
34,125,0,1
35,132,1,1
36,138,3,1
37,148,2,3
38,151,2,2
39,155,1,0
40,156,1,1
41,159,4,3
42,161,4,0
43,161,4,3
44,163,2,3
45,176,1,3
46,181,0,0
47,181,4,3
48,188,1,3
