,step,vertical_idx,horizontal_idx
0,5,4,1
1,17,4,1
2,20,1,1
3,24,1,0
4,30,0,3
5,31,1,1
6,33,4,1
7,34,4,2
8,44,3,3
9,50,1,2
10,51,4,1
11,52,1,3
12,56,2,3
13,58,4,1
14,67,4,2
15,72,1,1
16,77,1,1
17,80,2,2
18,83,3,4
19,89,0,1
20,89,2,2
21,91,4,1
22,92,3,2
23,104,3,3
24,108,1,1
25,108,2,3
26,112,1,2
27,115,2,2
28,118,2,1
29,118,4,3
30,120,4,1
31,122,3,2
32,123,2,3
33,134,1,1
34,141,2,2
35,146,2,3
36,146,3,1
37,158,2,1
38,163,4,2
39,165,2,2
40,167,4,4
41,172,2,2
42,173,3,2
43,177,4,1
44,182,1,1
45,197,0,1
