,step,vertical_idx,horizontal_idx
0,4,1,1
1,8,2,3
2,22,2,2
3,27,2,2
4,30,2,3
5,35,2,2
6,39,2,1
7,41,1,1
8,44,4,2
9,54,2,3
10,58,2,1
11,60,4,0
12,65,2,2
13,70,1,0
14,72,2,3
15,79,4,3
16,82,2,2
17,82,2,3
18,90,2,1
19,90,3,3
20,94,2,3
21,99,0,1
22,114,1,1
23,114,1,3
24,134,1,1
25,135,2,1
26,136,1,3
27,136,4,1
28,137,1,1
29,138,1,1
30,140,3,2
31,146,3,4
32,150,2,3
33,151,4,2
34,155,2,3
35,158,1,0
36,159,4,2
37,160,3,3
38,162,1,0
39,168,2,2
40,180,1,1
41,182,4,2
42,190,2,2
43,191,2,1
44,192,2,2
45,193,4,2
46,196,4,2
47,198,2,1
48,199,2,2
