,step,vertical_idx,horizontal_idx
0,1,4,2
1,4,4,1
2,6,1,1
3,6,3,3
4,14,2,3
5,19,2,1
6,19,3,1
7,26,1,0
8,28,1,1
9,28,4,3
10,34,4,2
11,40,4,3
12,44,1,2
13,47,0,1
14,50,1,0
15,50,4,3
16,52,0,1
17,54,4,1
18,61,2,2
19,65,2,2
20,69,1,0
21,71,2,1
22,74,2,3
23,79,4,4
24,88,3,0
25,89,1,1
26,93,0,1
27,96,1,2
28,107,0,1
29,111,4,4
30,113,3,3
31,128,3,3
32,131,0,4
33,137,0,3
34,154,2,3
35,155,2,4
36,165,1,0
37,167,2,2
38,169,1,0
39,171,0,2
40,172,2,4
41,173,4,2
42,177,1,1
43,183,2,3
44,183,3,1
45,183,3,3
46,192,2,3
47,193,1,0
48,196,2,3
