,step,vertical_idx,horizontal_idx
0,1,2,2
1,2,2,2
2,12,4,0
3,16,4,2
4,18,3,2
5,20,3,2
6,23,1,0
7,24,0,0
8,26,2,4
9,27,4,3
10,28,4,3
11,40,1,1
12,50,2,2
13,51,3,3
14,60,2,4
15,61,4,2
16,65,2,2
17,65,4,2
18,68,3,3
19,77,2,3
20,78,3,1
21,82,4,2
22,83,1,3
23,88,4,2
24,96,2,3
25,100,2,3
26,107,2,1
27,108,4,2
28,110,2,2
29,123,1,0
30,127,4,2
31,131,0,3
32,131,3,2
33,132,3,1
34,136,4,2
35,153,1,3
36,160,4,3
37,169,2,4
38,170,1,1
39,170,3,3
40,172,2,3
41,177,4,2
42,180,1,4
43,182,3,4
44,187,2,2
45,190,4,2
46,192,2,1
47,193,1,1
48,194,2,4
49,196,1,2
