,step,vertical_idx,horizontal_idx
0,7,1,1
1,9,2,3
2,10,1,0
3,14,1,1
4,18,4,2
5,19,1,1
6,28,1,1
7,31,1,2
8,32,3,4
9,33,2,3
10,34,4,1
11,51,2,4
12,55,1,1
13,60,4,2
14,61,1,1
15,68,3,2
16,72,4,2
17,82,3,2
18,85,1,1
19,92,0,1
20,93,0,2
21,93,4,2
22,97,2,2
23,98,4,3
24,101,2,3
25,110,0,1
26,112,2,2
27,117,4,2
28,125,1,3
29,126,3,1
30,129,1,1
31,130,1,0
32,134,1,3
33,134,4,2
34,136,2,4
35,140,2,3
36,141,3,1
37,145,2,1
38,153,2,3
39,153,4,2
40,166,1,1
41,168,1,3
42,176,3,3
43,178,1,1
44,181,1,1
45,186,2,3
46,187,3,0
47,188,1,0
48,189,1,0
49,190,0,0
50,194,1,3
51,194,2,3
52,195,4,2
