,step,vertical_idx,horizontal_idx
0,2,2,2
1,6,0,2
2,7,4,2
3,17,2,3
4,19,1,1
5,22,4,2
6,28,1,3
7,45,1,2
8,46,1,2
9,47,4,1
10,58,3,3
11,60,1,4
12,63,4,2
13,66,2,3
14,77,2,2
15,78,1,0
16,82,2,3
17,84,2,3
18,86,2,3
19,91,4,3
20,92,1,3
21,97,1,3
22,101,2,1
23,103,2,3
24,106,2,3
25,106,4,1
26,108,2,1
27,109,0,3
28,111,3,1
29,115,2,2
30,116,2,3
31,120,2,4
32,121,2,1
33,128,3,2
34,129,4,4
35,132,1,2
36,135,1,2
37,135,3,3
38,137,0,1
39,137,2,4
40,140,1,3
41,144,1,1
42,145,2,3
43,147,1,1
44,150,1,1
45,152,2,2
46,152,2,3
47,153,0,1
48,157,3,1
49,164,2,1
50,164,2,3
51,165,1,1
52,169,4,4
53,174,1,2
54,181,3,4
55,192,1,2
56,192,1,4
57,198,0,3
58,198,4,3
