,step,vertical_idx,horizontal_idx
0,3,1,1
1,6,2,3
2,8,4,2
3,13,3,3
4,15,4,3
5,20,2,1
6,38,4,2
7,51,2,3
8,54,2,3
9,57,2,2
10,69,4,3
11,71,1,4
12,72,1,0
13,79,2,3
14,93,4,2
15,96,2,3
16,100,3,1
17,105,3,1
18,106,1,0
19,109,1,0
20,115,2,1
21,117,2,4
22,121,1,0
23,124,3,2
24,126,3,1
25,130,4,1
26,131,4,1
27,134,0,3
28,134,3,3
29,135,2,1
30,137,3,2
31,140,2,3
32,141,2,1
33,144,2,1
34,146,2,3
35,156,2,3
36,158,4,2
37,160,0,0
38,162,3,2
39,163,0,1
40,163,4,2
41,173,1,3
42,178,4,3
43,184,3,2
44,193,0,1
45,194,0,1
46,197,4,3
