,step,vertical_idx,horizontal_idx
0,1,0,1
1,4,2,2
2,15,1,2
3,18,4,2
4,21,2,3
5,21,4,2
6,30,0,1
7,30,1,1
8,31,2,2
9,31,4,2
10,33,1,4
11,40,0,1
12,57,1,0
13,59,3,3
14,72,3,2
15,73,3,4
16,79,1,1
17,82,1,1
18,82,2,2
19,90,2,3
20,94,0,2
21,98,2,3
22,98,4,3
23,101,1,1
24,107,2,3
25,132,1,3
26,138,1,1
27,138,3,4
28,139,2,2
29,140,2,1
30,141,3,1
31,143,2,1
32,145,2,3
33,147,2,1
34,155,1,2
35,161,1,1
36,170,3,3
37,174,1,1
38,178,1,1
39,178,2,2
40,180,1,3
41,184,3,1
42,190,4,2
43,192,2,1
44,192,2,3
45,192,2,4
46,193,0,0
47,194,3,3
48,196,1,2
