,step,vertical_idx,horizontal_idx
0,1,1,0
1,1,2,4
2,3,1,1
3,3,1,2
4,17,2,1
5,21,1,1
6,23,4,3
7,25,0,2
8,32,3,2
9,36,1,2
10,37,2,2
11,38,1,2
12,48,2,1
13,52,4,2
14,56,3,1
15,64,1,1
16,64,2,1
17,64,4,2
18,69,1,2
19,76,2,1
20,78,4,2
21,79,1,1
22,82,1,2
23,82,4,4
24,84,3,3
25,85,1,1
26,88,1,3
27,97,4,2
28,99,1,1
29,105,1,1
30,107,3,1
31,117,2,2
32,121,3,2
33,136,0,2
34,149,4,0
35,150,1,2
36,153,4,2
37,164,4,2
38,166,1,4
39,167,3,2
40,170,3,3
41,172,2,4
42,174,1,4
43,174,2,2
44,175,3,2
45,177,1,1
46,183,3,3
47,186,1,3
48,189,2,1
49,190,3,3
50,192,1,3
51,194,1,0
