,step,vertical_idx,horizontal_idx
0,1,2,2
1,4,2,2
2,5,1,1
3,6,3,3
4,8,3,1
5,9,2,3
6,11,2,3
7,17,1,1
8,18,3,2
9,22,2,3
10,29,1,4
11,33,2,2
12,34,2,3
13,35,3,2
14,37,3,0
15,42,4,3
16,54,3,2
17,61,4,3
18,62,3,4
19,63,1,3
20,64,4,2
21,69,2,4
22,72,1,1
23,74,1,4
24,78,1,3
25,79,4,4
26,80,0,2
27,80,2,2
28,90,2,3
29,91,3,2
30,93,4,2
31,101,1,1
32,102,4,2
33,114,0,0
34,119,3,3
35,125,1,0
36,125,1,1
37,126,3,2
38,137,2,3
39,149,1,2
40,155,3,2
41,159,3,2
42,160,4,4
43,168,2,3
44,170,0,2
45,170,1,2
46,174,1,1
47,177,4,1
48,193,2,2
49,193,3,1
50,198,3,3
51,199,2,4
