,step,vertical_idx,horizontal_idx
0,4,1,1
1,4,1,4
2,7,3,1
3,7,4,3
4,9,3,2
5,16,1,0
6,17,2,1
7,17,2,3
8,19,2,3
9,23,2,1
10,25,0,1
11,27,1,3
12,34,1,1
13,34,4,1
14,40,0,2
15,41,2,2
16,44,1,1
17,48,2,2
18,49,1,1
19,51,1,2
20,56,4,2
21,62,2,2
22,64,2,4
23,66,2,3
24,67,3,2
25,71,1,2
26,74,1,0
27,74,3,4
28,75,2,4
29,78,0,1
30,85,3,3
31,90,3,3
32,92,1,3
33,93,2,2
34,101,1,0
35,102,0,2
36,109,4,0
37,116,1,4
38,121,4,1
39,122,3,4
40,123,1,3
41,125,2,2
42,134,4,2
43,137,0,3
44,147,0,2
45,149,2,1
46,150,1,1
47,150,4,4
48,163,2,1
49,165,0,3
50,165,1,1
51,165,1,3
52,173,1,4
53,174,1,0
54,182,2,2
55,187,2,2
56,195,1,3
