,step,vertical_idx,horizontal_idx
0,8,1,3
1,14,3,0
2,15,4,2
3,20,2,1
4,26,0,1
5,30,3,0
6,37,1,0
7,38,4,0
8,40,1,3
9,42,0,2
10,48,1,4
11,51,0,2
12,56,4,0
13,57,0,1
14,59,2,1
15,61,0,0
16,61,0,4
17,63,1,1
18,66,3,0
19,67,0,0
20,70,0,3
21,83,4,0
22,90,2,4
23,91,2,2
24,93,3,3
25,100,2,1
26,105,1,2
27,111,3,0
28,113,4,4
29,116,1,3
30,128,4,3
31,134,2,4
32,140,3,3
33,143,4,1
34,148,1,1
35,149,1,2
36,150,4,3
37,153,0,1
38,156,0,1
39,156,2,1
40,158,2,4
41,161,3,3
42,168,2,1
43,169,3,2
44,169,4,0
45,193,3,4
46,194,3,2
47,200,3,1
