,step,vertical_idx,horizontal_idx
0,10,3,2
1,11,1,4
2,11,4,1
3,14,0,0
4,14,1,1
5,16,3,4
6,17,3,3
7,20,0,2
8,20,1,2
9,24,0,1
10,24,0,3
11,24,4,1
12,28,0,4
13,36,2,2
14,36,2,4
15,41,3,1
16,43,2,1
17,58,2,4
18,60,1,0
19,61,1,2
20,64,2,2
21,71,2,2
22,71,4,4
23,79,1,0
24,82,2,3
25,87,1,4
26,90,3,3
27,91,3,3
28,98,0,1
29,100,0,2
30,114,0,3
31,116,1,4
32,118,3,1
33,121,2,3
34,122,0,1
35,123,0,1
36,124,3,3
37,134,0,3
38,138,0,3
39,148,3,3
40,150,3,1
41,153,0,4
42,155,4,4
43,157,0,2
44,160,1,1
45,160,1,3
46,161,3,2
47,163,2,4
48,166,1,2
49,171,3,2
50,175,1,4
51,176,3,3
52,181,4,0
53,188,0,1
54,189,0,2
55,190,4,2
56,191,0,1
57,197,3,1
