,step,vertical_idx,horizontal_idx
0,4,2,2
1,4,3,0
2,4,3,2
3,4,4,0
4,5,2,1
5,7,2,1
6,9,3,1
7,10,4,1
8,12,3,4
9,13,0,2
10,16,2,1
11,17,0,0
12,17,0,1
13,17,4,3
14,29,1,1
15,54,1,2
16,58,0,1
17,59,3,3
18,60,3,4
19,69,0,3
20,70,3,2
21,73,4,2
22,75,0,4
23,75,2,4
24,76,0,2
25,76,3,2
26,78,2,2
27,78,3,1
28,95,2,3
29,96,1,0
30,99,0,4
31,107,2,2
32,113,0,4
33,115,1,2
34,120,0,4
35,123,3,4
36,130,3,0
37,133,3,2
38,135,3,1
39,137,4,3
40,139,3,3
41,140,0,3
42,142,3,4
43,150,4,4
44,151,0,2
45,151,3,4
46,162,3,1
47,167,2,2
48,168,4,4
49,171,0,2
50,174,3,2
51,175,3,0
52,184,3,4
53,186,1,2
54,191,0,1
55,193,4,2
56,194,4,3
57,195,2,1
58,199,3,0
