,step,vertical_idx,horizontal_idx
0,1,2,3
1,8,2,2
2,8,3,4
3,11,0,4
4,17,4,2
5,34,0,1
6,34,3,2
7,35,2,2
8,38,1,0
9,39,3,3
10,49,1,2
11,54,0,0
12,54,1,4
13,56,3,4
14,57,3,3
15,58,1,0
16,58,3,2
17,60,4,4
18,61,0,4
19,65,3,2
20,67,4,0
21,73,3,1
22,74,4,0
23,77,3,3
24,81,0,1
25,83,3,4
26,86,2,1
27,88,2,3
28,104,0,4
29,107,2,4
30,108,4,4
31,110,2,2
32,112,4,1
33,121,0,2
34,132,3,3
35,134,0,2
36,140,2,3
37,141,1,0
38,147,2,2
39,147,4,4
40,149,2,4
41,150,0,4
42,155,3,4
43,159,0,1
44,161,1,3
45,167,0,0
46,169,1,2
47,176,0,3
48,179,4,2
49,188,3,3
50,193,1,2
51,198,0,4
