,step,vertical_idx,horizontal_idx
0,1,4,4
1,4,3,3
2,5,0,1
3,7,1,4
4,8,0,3
5,10,2,1
6,10,3,2
7,15,4,1
8,16,2,3
9,17,4,4
10,30,2,2
11,35,0,0
12,35,0,4
13,37,3,3
14,45,1,3
15,48,3,0
16,52,2,1
17,55,0,4
18,62,3,2
19,67,0,3
20,68,3,0
21,73,0,1
22,74,4,1
23,78,0,3
24,79,2,2
25,81,2,2
26,85,0,2
27,85,3,2
28,92,4,3
29,96,0,1
30,100,1,4
31,102,0,0
32,102,4,4
33,105,3,3
34,108,1,3
35,113,2,1
36,115,0,4
37,117,4,1
38,122,2,3
39,126,0,0
40,137,2,4
41,141,1,3
42,146,1,0
43,149,4,3
44,151,1,4
45,152,2,4
46,152,4,2
47,153,3,2
48,154,4,4
49,158,3,0
50,160,0,4
51,160,3,3
52,165,2,4
53,179,4,3
54,186,0,2
55,186,4,4
56,190,0,1
57,191,1,0
58,195,4,2
