,step,vertical_idx,horizontal_idx
0,1,3,4
1,2,2,1
2,9,4,3
3,13,1,2
4,14,3,4
5,17,0,1
6,17,3,2
7,19,0,1
8,19,3,0
9,23,0,3
10,24,2,2
11,39,0,4
12,40,2,2
13,40,3,0
14,41,4,4
15,44,3,2
16,46,1,1
17,53,0,0
18,72,0,2
19,72,3,3
20,85,3,3
21,90,4,0
22,94,0,0
23,95,1,0
24,95,3,0
25,102,0,4
26,103,4,3
27,108,4,0
28,117,4,1
29,119,1,2
30,120,0,1
31,123,4,3
32,129,1,1
33,133,2,3
34,144,3,4
35,150,0,4
36,151,2,4
37,154,2,3
38,155,2,4
39,157,1,3
40,167,3,1
41,168,1,1
42,169,0,3
43,174,2,2
44,176,3,2
45,182,0,1
46,186,1,3
47,197,2,3
48,198,3,1
