,step,vertical_idx,horizontal_idx
0,6,4,2
1,14,4,1
2,35,4,1
3,37,0,0
4,41,1,4
5,50,4,3
6,54,0,4
7,60,3,1
8,61,0,2
9,61,3,4
10,61,4,4
11,63,1,2
12,69,0,2
13,74,4,2
14,95,4,2
15,97,0,4
16,97,4,2
17,98,0,0
18,101,2,3
19,110,2,4
20,116,1,4
21,123,1,2
22,123,3,3
23,128,0,1
24,128,1,0
25,128,4,1
26,134,0,0
27,134,1,3
28,136,1,3
29,137,4,1
30,139,0,4
31,149,3,0
32,156,4,2
33,161,0,3
34,164,4,0
35,168,1,0
36,168,2,3
37,172,2,4
38,177,1,3
39,178,0,3
40,179,4,2
41,183,1,2
42,185,3,4
43,188,3,0
44,190,2,4
45,196,0,3
