,step,vertical_idx,horizontal_idx
0,3,1,4
1,3,4,4
2,4,1,0
3,6,3,3
4,8,0,4
5,11,3,0
6,12,0,3
7,14,0,1
8,18,4,4
9,19,4,2
10,20,4,3
11,29,1,3
12,32,4,1
13,33,3,4
14,36,1,3
15,37,3,0
16,48,3,0
17,54,2,3
18,57,0,3
19,67,3,2
20,68,3,0
21,68,4,4
22,69,3,2
23,82,3,2
24,83,3,0
25,84,1,4
26,87,0,3
27,89,1,2
28,90,1,3
29,90,4,3
30,95,2,4
31,98,2,2
32,102,2,3
33,103,3,1
34,106,3,0
35,106,4,3
36,110,0,1
37,116,0,0
38,117,4,2
39,119,3,4
40,120,2,4
41,123,1,3
42,123,3,3
43,125,4,1
44,126,1,3
45,143,3,0
46,147,0,1
47,151,3,3
48,159,0,0
49,161,4,3
50,167,3,1
51,186,0,4
52,194,0,4
53,195,2,3
54,196,3,1
55,199,4,1
