,step,vertical_idx,horizontal_idx
0,1,2,3
1,2,1,0
2,7,0,0
3,17,2,4
4,27,1,3
5,28,1,4
6,33,1,1
7,33,4,2
8,38,2,4
9,38,3,2
10,44,2,4
11,50,0,2
12,52,4,1
13,62,2,1
14,63,4,4
15,64,0,1
16,65,1,3
17,72,0,1
18,74,3,4
19,79,4,4
20,82,2,4
21,85,1,4
22,87,0,2
23,89,0,0
24,97,0,3
25,97,1,0
26,103,4,0
27,109,3,4
28,113,1,3
29,115,1,2
30,115,3,4
31,115,4,0
32,117,4,3
33,120,1,2
34,121,1,1
35,127,0,4
36,136,2,3
37,142,0,2
38,145,1,4
39,150,0,1
40,151,1,2
41,152,0,2
42,153,1,4
43,161,3,3
44,168,0,2
45,175,3,2
46,180,2,3
47,185,2,3
48,187,2,4
49,195,1,1
50,195,1,2
