,step,vertical_idx,horizontal_idx
0,2,0,3
1,18,2,2
2,23,4,4
3,26,2,3
4,26,3,2
5,30,1,1
6,32,4,0
7,39,0,0
8,42,3,1
9,49,1,3
10,51,2,4
11,53,2,3
12,53,3,2
13,53,4,4
14,54,0,1
15,63,4,4
16,69,3,3
17,70,4,4
18,73,1,0
19,75,1,0
20,76,0,0
21,79,1,3
22,84,2,2
23,86,0,2
24,86,3,4
25,98,4,0
26,101,4,0
27,102,4,4
28,112,3,3
29,117,3,2
30,120,2,3
31,131,3,2
32,138,3,3
33,138,4,2
34,139,1,4
35,154,1,2
36,155,1,2
37,166,2,1
38,169,3,4
39,175,2,3
40,176,3,4
41,177,0,4
42,179,3,4
43,180,3,4
44,187,0,1
45,188,4,2
46,196,2,4
47,199,1,4
