,step,vertical_idx,horizontal_idx
0,1,2,2
1,5,0,4
2,5,3,3
3,11,2,2
4,22,1,1
5,23,1,0
6,33,3,3
7,36,2,3
8,41,1,0
9,41,4,2
10,44,1,0
11,45,3,4
12,48,0,0
13,51,2,3
14,56,0,0
15,56,2,3
16,57,2,3
17,69,0,0
18,69,4,4
19,87,3,0
20,88,1,0
21,89,3,2
22,92,4,1
23,104,0,1
24,110,1,3
25,111,1,0
26,111,3,3
27,116,2,4
28,116,3,4
29,127,2,1
30,139,4,1
31,141,0,4
32,142,0,4
33,142,1,0
34,144,2,3
35,146,0,4
36,148,0,0
37,149,2,3
38,153,3,0
39,155,1,3
40,155,3,0
41,161,3,4
42,173,0,1
43,176,2,2
44,177,3,1
45,183,3,4
46,185,3,2
47,188,0,0
48,188,4,4
49,189,4,4
50,194,4,1
51,197,1,4
