,step,vertical_idx,horizontal_idx
0,17,4,4
1,22,2,4
2,26,3,1
3,27,1,1
4,29,3,4
5,33,3,3
6,34,0,3
7,35,0,4
8,36,4,0
9,37,0,4
10,39,3,2
11,44,2,3
12,54,0,1
13,54,2,4
14,55,0,0
15,60,4,3
16,69,2,4
17,70,4,2
18,76,2,3
19,81,0,0
20,84,4,4
21,93,3,2
22,106,4,4
23,107,1,1
24,109,1,4
25,111,3,0
26,118,0,3
27,124,3,3
28,128,1,4
29,128,3,3
30,133,2,1
31,133,3,3
32,137,3,1
33,137,4,3
34,140,2,1
35,143,0,1
36,147,4,1
37,151,3,3
38,158,4,0
39,166,1,1
40,167,1,4
41,170,0,0
42,173,2,1
43,175,3,0
44,181,1,0
45,194,0,0
46,199,2,1
