,step,vertical_idx,horizontal_idx
0,2,1,0
1,8,0,1
2,23,3,3
3,24,4,0
4,25,4,3
5,27,4,1
6,29,3,1
7,31,1,1
8,36,4,4
9,39,3,4
10,59,2,4
11,75,3,4
12,76,1,0
13,79,2,3
14,81,3,4
15,87,1,2
16,88,0,0
17,90,4,3
18,92,3,4
19,93,0,1
20,93,3,4
21,94,3,0
22,95,0,0
23,95,2,4
24,98,3,3
25,106,4,4
26,112,3,0
27,115,0,2
28,121,2,3
29,124,0,0
30,126,0,0
31,126,2,2
32,132,3,4
33,133,4,4
34,138,2,4
35,141,1,4
36,145,2,3
37,147,0,0
38,147,1,3
39,150,0,0
40,153,2,3
41,154,3,4
42,157,1,1
43,157,2,3
44,165,3,0
45,166,1,0
46,167,2,2
47,167,4,0
48,171,3,4
49,172,1,0
50,172,2,4
51,179,1,4
52,181,0,4
53,181,2,3
54,193,3,1
55,195,0,3
56,195,2,1
57,196,1,0
58,198,3,3
59,198,4,0
60,199,2,1
