,step,vertical_idx,horizontal_idx
0,1,2,1
1,2,2,2
2,3,0,4
3,12,3,1
4,12,2,2
5,12,1,0
6,13,4,1
7,16,0,2
8,21,1,4
9,26,4,3
10,40,1,2
11,44,1,1
12,48,0,4
13,51,1,1
14,51,1,1
15,56,4,2
16,61,4,3
17,61,1,3
18,62,1,3
19,67,3,0
20,68,0,2
21,69,0,3
22,71,2,1
23,80,2,3
24,86,4,0
25,97,2,1
26,99,2,2
27,105,1,3
28,114,0,2
29,114,4,3
30,116,3,2
31,118,1,4
32,119,0,4
33,128,3,1
34,140,2,3
35,142,3,2
36,142,2,4
37,145,1,4
38,154,4,4
39,155,1,0
40,158,3,2
41,165,4,2
42,165,0,4
43,173,3,4
44,179,3,1
45,180,1,3
46,182,1,2
