,step,vertical_idx,horizontal_idx
0,3,4,0
1,12,3,3
2,17,3,0
3,17,0,4
4,18,4,2
5,21,1,0
6,22,1,1
7,23,3,1
8,24,2,4
9,25,0,3
10,30,3,3
11,30,3,3
12,47,3,0
13,48,0,0
14,52,0,1
15,54,3,1
16,60,2,4
17,80,2,2
18,80,2,4
19,85,4,0
20,88,2,3
21,91,3,4
22,93,3,0
23,99,1,3
24,114,2,3
25,116,4,0
26,117,2,3
27,118,4,3
28,130,0,2
29,144,0,0
30,147,3,0
31,148,4,3
32,150,3,2
33,151,0,2
34,155,4,0
35,166,1,3
36,171,2,2
37,173,0,4
38,174,2,3
39,181,4,2
40,184,2,3
41,184,1,1
42,185,3,2
43,186,2,4
44,193,2,4
45,196,4,2
46,196,4,4
47,199,4,3
