,step,vertical_idx,horizontal_idx
0,7,1,0
1,11,3,2
2,13,2,1
3,14,2,3
4,15,0,0
5,17,1,0
6,25,2,4
7,28,2,3
8,30,1,2
9,31,4,3
10,34,2,4
11,37,0,4
12,43,0,3
13,44,2,3
14,50,4,4
15,50,4,0
16,66,2,2
17,70,4,4
18,75,4,3
19,85,2,1
20,89,1,2
21,100,3,2
22,103,2,4
23,109,3,1
24,114,3,4
25,114,4,2
26,121,3,3
27,124,4,4
28,130,1,3
29,131,2,3
30,132,4,4
31,134,3,3
32,137,4,2
33,144,4,4
34,145,0,1
35,145,3,0
36,149,1,2
37,155,0,3
38,159,4,0
39,161,4,3
40,165,3,1
41,169,3,1
42,169,1,4
43,172,0,0
44,174,4,2
45,180,1,3
46,180,3,3
47,180,4,2
48,184,3,0
49,189,3,1
50,192,1,2
51,198,4,2
