,step,vertical_idx,horizontal_idx
0,2,2,2
1,5,0,3
2,8,0,3
3,10,0,3
4,15,3,2
5,22,0,4
6,32,2,2
7,35,1,4
8,35,3,3
9,40,3,1
10,41,3,4
11,43,2,4
12,53,4,2
13,53,2,4
14,57,0,2
15,59,1,3
16,60,1,4
17,63,4,0
18,76,3,4
19,85,3,3
20,92,4,2
21,95,0,2
22,111,1,3
23,123,2,3
24,127,2,1
25,127,4,4
26,129,4,0
27,132,3,4
28,134,4,2
29,134,1,4
30,136,3,0
31,137,4,0
32,139,4,4
33,143,2,1
34,149,1,2
35,153,1,4
36,157,0,4
37,159,3,1
38,168,0,3
39,173,3,4
40,177,1,2
41,183,0,3
42,183,3,2
43,184,3,3
44,188,3,3
45,189,4,1
46,191,4,1
47,196,3,1
48,198,0,1
49,200,2,4
