,step,vertical_idx,horizontal_idx
0,3,0,4
1,9,1,1
2,12,3,3
3,12,4,4
4,21,4,1
5,23,0,4
6,23,2,1
7,25,0,3
8,28,4,4
9,31,2,4
10,33,0,4
11,34,4,1
12,57,2,3
13,61,4,4
14,63,3,1
15,68,4,0
16,70,1,4
17,71,3,2
18,73,2,3
19,76,2,4
20,81,1,2
21,83,2,3
22,87,3,2
23,87,4,4
24,92,4,2
25,97,3,2
26,97,2,2
27,98,1,4
28,102,3,1
29,103,2,2
30,104,1,3
31,112,2,4
32,113,0,1
33,121,4,1
34,128,3,1
35,153,4,2
36,156,1,4
37,161,4,4
38,164,1,4
39,170,1,4
40,170,1,2
41,170,2,4
42,175,2,3
43,175,1,3
44,181,0,2
45,185,4,4
46,186,4,0
47,190,3,3
48,195,2,2
49,200,4,2
